model,t,auc,dataset
baseline,0,0.5353574999999999,FashionMNIST
baseline,50,0.5482205,FashionMNIST
baseline,100,0.5572583750000001,FashionMNIST
baseline,150,0.563180875,FashionMNIST
baseline,200,0.56575475,FashionMNIST
baseline,250,0.561658,FashionMNIST
baseline,300,0.55519775,FashionMNIST
baseline,350,0.5489244999999999,FashionMNIST
baseline,400,0.53919975,FashionMNIST
baseline,450,0.5280565,FashionMNIST
baseline,500,0.5229825,FashionMNIST
baseline,550,0.51887525,FashionMNIST
baseline,600,0.514723625,FashionMNIST
baseline,650,0.51567075,FashionMNIST
baseline,700,0.5094857500000001,FashionMNIST
baseline,750,0.5104718749999999,FashionMNIST
baseline,800,0.51101125,FashionMNIST
baseline,850,0.509754,FashionMNIST
baseline,900,0.5100827499999999,FashionMNIST
baseline,950,0.5107892500000001,FashionMNIST
sn,0,0.52513875,FashionMNIST
sn,50,0.525433375,FashionMNIST
sn,100,0.5261082499999999,FashionMNIST
sn,150,0.5265215000000001,FashionMNIST
sn,200,0.5268555,FashionMNIST
sn,250,0.5246535,FashionMNIST
sn,300,0.52430875,FashionMNIST
sn,350,0.52337225,FashionMNIST
sn,400,0.5170335,FashionMNIST
sn,450,0.51651675,FashionMNIST
sn,500,0.51575025,FashionMNIST
sn,550,0.5154293750000001,FashionMNIST
sn,600,0.51303525,FashionMNIST
sn,650,0.51252975,FashionMNIST
sn,700,0.5108422499999999,FashionMNIST
sn,750,0.5115765000000001,FashionMNIST
sn,800,0.51086325,FashionMNIST
sn,850,0.511035125,FashionMNIST
sn,900,0.51049625,FashionMNIST
sn,950,0.5098796250000001,FashionMNIST
