model,t,auc,dataset
baseline,0,0.452792875,MNIST
baseline,50,0.47652325,MNIST
baseline,100,0.50962675,MNIST
baseline,150,0.537267,MNIST
baseline,200,0.5590076250000001,MNIST
baseline,250,0.574871,MNIST
baseline,300,0.568418,MNIST
baseline,350,0.563271125,MNIST
baseline,400,0.55890025,MNIST
baseline,450,0.5390238749999999,MNIST
baseline,500,0.5270795,MNIST
baseline,550,0.51204575,MNIST
baseline,600,0.49764400000000003,MNIST
baseline,650,0.49428375,MNIST
baseline,700,0.48916387499999997,MNIST
baseline,750,0.487538,MNIST
baseline,800,0.48522049999999994,MNIST
baseline,850,0.48645,MNIST
baseline,900,0.48444574999999995,MNIST
baseline,950,0.48360225,MNIST
sn,0,0.46563037500000004,MNIST
sn,50,0.46451787499999997,MNIST
sn,100,0.47766262499999995,MNIST
sn,150,0.483283,MNIST
sn,200,0.4849872499999999,MNIST
sn,250,0.488860125,MNIST
sn,300,0.499181,MNIST
sn,350,0.51053825,MNIST
sn,400,0.515764125,MNIST
sn,450,0.513413,MNIST
sn,500,0.50335925,MNIST
sn,550,0.50079475,MNIST
sn,600,0.492106,MNIST
sn,650,0.489462,MNIST
sn,700,0.488973125,MNIST
sn,750,0.48540425,MNIST
sn,800,0.48296249999999996,MNIST
sn,850,0.48177400000000004,MNIST
sn,900,0.483469125,MNIST
sn,950,0.48279400000000006,MNIST
